City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
247,Rio Gallegos,AR,-51.6226,-69.2181,59.05,47,75,20.71,broken clouds
248,Sakaiminato,JP,35.55,133.2333,58.98,72,40,5.75,scattered clouds
249,High Rock,BS,26.6208,-78.2833,71.62,75,0,13.09,clear sky
250,Quatre Cocos,MU,-20.2078,57.7625,71.71,55,74,15.99,broken clouds
251,Taquaritinga,BR,-21.4061,-48.5047,73.81,60,67,5.37,broken clouds
252,Baghdad,IQ,33.3406,44.4009,53.51,94,100,2.3,overcast clouds
253,Las Cruces,US,32.3123,-106.7783,52.36,27,0,5.75,clear sky
254,Iturama,BR,-19.7281,-50.1956,74.46,58,99,7.18,overcast clouds
255,Narsaq,GL,60.9167,-46.05,34.02,81,100,4.29,overcast clouds
256,Susanville,US,40.4163,-120.653,33.64,78,0,0.0,clear sky
257,Addanki,IN,15.8167,79.9833,72.88,87,100,3.22,overcast clouds
258,Leeton,AU,-34.5667,146.4,58.89,45,90,11.81,overcast clouds
259,Nisia Floresta,BR,-6.0911,-35.2086,77.81,84,100,7.38,overcast clouds
260,Sibolga,ID,1.7427,98.7792,75.04,97,100,2.08,moderate rain
261,Show Low,US,34.2542,-110.0298,37.69,56,0,0.0,clear sky
262,Cherskiy,RU,68.75,161.3,-25.49,100,96,5.37,overcast clouds
263,Kirksville,US,40.1948,-92.5833,37.06,69,100,3.44,overcast clouds
264,San Patricio,US,28.017,-97.5169,64.89,89,46,10.54,scattered clouds
265,Kalmunai,LK,7.4167,81.8167,77.63,83,100,5.97,overcast clouds
266,Jiaohe,CN,43.7286,127.3447,32.0,69,7,3.89,clear sky
267,Sarab,IR,38.6066,44.9883,41.49,61,5,2.13,clear sky
268,Etchoropo,MX,26.7667,-109.6667,74.41,75,100,9.75,overcast clouds
269,Dawlatabad,AF,36.4141,64.9053,50.09,52,2,5.46,clear sky
270,Madang,PG,-5.2246,145.7966,86.9,60,95,5.77,overcast clouds
271,Enderby,GB,52.5878,-1.2062,48.13,91,100,12.77,overcast clouds
272,Nuuk,GL,64.1835,-51.7216,27.21,93,100,5.75,overcast clouds
273,Ilulissat,GL,69.2167,-51.1,28.42,93,100,18.41,light snow
274,Atasu,KZ,48.6814,71.6433,32.4,93,100,23.38,light snow
275,Derzhavinsk,KZ,51.1,66.3167,28.9,90,99,21.07,overcast clouds
276,Zhangye,CN,38.9342,100.4517,42.44,18,100,2.91,overcast clouds
277,Bathsheba,BB,13.2167,-59.5167,81.21,83,20,19.57,few clouds
278,Foumbot,CM,5.5079,10.6356,66.52,66,100,2.68,overcast clouds
279,Misratah,LY,32.3754,15.0925,68.02,58,0,4.12,clear sky
280,Armidale,AU,-30.5167,151.65,66.22,45,14,11.03,few clouds
281,Grand Forks,US,47.9417,-97.4337,19.33,86,100,6.91,overcast clouds
282,Abu Samrah,SY,35.3029,37.1841,60.17,61,0,0.96,clear sky
283,Saint-Joseph,RE,-21.3667,55.6167,68.38,65,20,13.78,few clouds
284,Worland,US,44.0169,-107.9554,27.75,91,75,1.01,broken clouds
285,Svetlogorsk,BY,52.6333,29.7333,34.43,90,100,5.84,overcast clouds
286,Villanueva De La Serena,ES,38.9766,-5.7974,56.55,95,94,5.08,overcast clouds
287,Lerwick,GB,60.1545,-1.1494,51.8,88,100,30.71,overcast clouds
288,La Palma,US,33.8464,-118.0467,65.08,58,0,3.44,clear sky
289,Qaanaaq,GL,77.484,-69.3632,-2.45,79,47,5.32,scattered clouds
290,Freeport,US,40.6576,-73.5832,42.03,59,0,12.66,clear sky
291,Rundu,NA,-17.9333,19.7667,73.27,61,47,8.21,scattered clouds
292,Palembang,ID,-2.9167,104.7458,80.69,83,40,2.3,scattered clouds
293,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.88,91,100,19.6,heavy intensity rain
294,Algiers,DZ,36.7525,3.042,51.62,87,20,4.61,few clouds
295,Ranong,TH,9.9658,98.6348,80.53,84,98,6.71,overcast clouds
296,Ekhabi,RU,53.5102,142.9671,27.32,72,34,10.29,scattered clouds
297,Nago,JP,26.5881,127.9761,72.45,74,99,5.39,overcast clouds
298,Kirakira,SB,-10.4544,161.9205,83.84,73,30,3.27,scattered clouds
299,Salinas,US,36.6777,-121.6555,57.42,74,0,9.22,clear sky
300,Sancti Spiritus,CU,21.9297,-79.4425,72.75,92,0,6.67,clear sky
301,Stepnyak,KZ,52.8339,70.7803,30.92,90,100,21.83,overcast clouds
302,Muswellbrook,AU,-32.2667,150.9,77.32,48,78,11.74,broken clouds
303,Hofn,IS,64.2539,-15.2082,45.63,92,100,14.09,overcast clouds
304,Xilopolis,GR,40.9271,23.1794,52.2,91,66,1.16,broken clouds
305,Klyuchi,RU,52.2667,79.1667,40.17,77,100,17.81,overcast clouds
306,Luderitz,NA,-26.6481,15.1594,58.46,94,5,7.29,clear sky
307,Chuy,UY,-33.6971,-53.4616,61.75,94,100,12.28,overcast clouds
308,Boke,GN,10.9409,-14.2967,76.53,89,100,2.13,overcast clouds
309,Codrington,AU,-38.2667,141.9667,51.91,64,96,17.56,overcast clouds
310,Batemans Bay,AU,-35.7167,150.1833,63.1,58,59,11.59,light rain
311,Venice,US,27.0998,-82.4543,73.98,91,0,4.38,clear sky
312,Havelock,US,34.8791,-76.9013,51.93,82,0,11.5,clear sky
313,Fomboni,KM,-12.28,43.7425,79.0,79,8,13.8,clear sky
314,Sao Filipe,CV,14.8961,-24.4956,75.15,74,100,10.85,overcast clouds
315,Kaseda,JP,31.4167,130.3167,63.32,61,100,17.63,overcast clouds
316,Rawah,IQ,34.4816,41.9093,58.59,51,9,2.73,clear sky
317,Mahibadhoo,MV,3.7833,72.9667,80.6,79,98,11.56,overcast clouds
318,Novoseleznevo,RU,55.6821,69.2056,33.12,99,100,7.92,overcast clouds
319,Te Anau,NZ,-45.4167,167.7167,65.52,43,100,7.14,overcast clouds
320,Coahuayana,MX,18.7333,-103.6833,74.37,89,63,1.79,broken clouds
321,Lernanist,AM,40.4678,44.7924,21.36,77,7,3.58,clear sky
322,Marsh Harbour,BS,26.5412,-77.0636,78.66,75,3,12.53,clear sky
323,Oistins,BB,13.0667,-59.5333,80.69,83,20,19.57,few clouds
324,Richards Bay,ZA,-28.783,32.0377,67.89,70,80,0.96,broken clouds
325,Dauriya,RU,49.9333,116.8667,18.43,71,33,7.99,scattered clouds
326,Bonavista,CA,48.6499,-53.1147,39.94,86,84,19.84,light rain
327,Ler,SS,8.3018,30.1418,71.47,44,11,4.21,few clouds
328,Ketchikan,US,55.3422,-131.6461,43.27,87,100,3.44,overcast clouds
329,Filadelfia,US,39.9523,-75.1638,40.87,59,0,8.05,clear sky
330,Okoneshnikovo,RU,54.8377,75.0834,34.56,98,100,17.69,overcast clouds
331,Pevek,RU,69.7008,170.3133,-10.61,100,100,3.49,overcast clouds
332,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.87,90,70,1.68,moderate rain
333,Moron,AR,-34.6534,-58.6198,66.96,61,0,5.03,clear sky
334,San Juan,AR,-31.5375,-68.5364,74.34,27,0,8.34,clear sky
335,Grand Gaube,MU,-20.0064,57.6608,72.0,65,1,1.99,clear sky
336,Blagoyevo,RU,63.3667,47.9167,9.79,94,60,5.93,broken clouds
337,Port Hedland,AU,-20.3167,118.5667,84.25,28,67,8.05,broken clouds
338,Marquette,US,46.5333,-87.6335,28.76,78,100,4.81,light snow
339,Siclong,PH,15.5808,121.2239,86.83,59,65,5.79,broken clouds
340,Rocha,UY,-34.4833,-54.3333,62.64,87,100,14.41,overcast clouds
341,Lasa,IT,46.6166,10.7002,35.02,81,14,0.67,few clouds
342,Finnsnes,NO,69.2296,17.9811,25.41,98,100,3.0,overcast clouds
343,Keetmanshoop,NA,-26.5833,18.1333,67.32,20,0,5.19,clear sky
344,Tlapehuala,MX,18.2167,-100.5167,76.55,74,100,3.4,overcast clouds
345,Trinidad,BO,-14.8333,-64.9,72.39,98,88,4.03,overcast clouds
346,Yulara,AU,-25.2406,130.9889,77.63,22,55,11.03,broken clouds
